"sigla_tribunal","procedimento","ramo_justica","sigla_grau","uf_oj",municipio_oj,"id_ultimo_oj","nome","mesano_cnm1","mesano_sent","casos_novos_2026","julgados_2026","prim_sent2026","suspensos_2026","dessobrestados_2026","cumprimento_meta1","distm2_a","julgm2_a","suspm2_a","cumprimento_meta2a","distm2_ant","julgm2_ant","suspm2_ant","desom2_ant","cumprimento_meta2ant","distm4_a","julgm4_a","suspm4_a","cumprimento_meta4a","distm4_b","julgm4_b","suspm4_b","cumprimento_meta4b"
"TRE-AC","Conhecimento criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Dez 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Jul 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Jul 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Mai 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Mar 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","NA NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Out 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Abr 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Abr 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Ago 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Ago 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Ago 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Ago 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Ago 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Dez 2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Dez 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Dez 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Fev 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Fev 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Jan 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Jan 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Jul 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AC","Conhecimento não criminal","Justiça Eleitoral","G1","AC",FEIJO,16032,"7ª ZONA ELEITORAL","Dez 2025","Jul 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
